index_tasty,id_,name,slug,video_url,thumbnail_url,tags,ratings_negative,ratings_positive,score,cooking_style_big_batch,cooking_style_kid_friendly,cooking_style_bake,meal_breakfast,meal_bakery_goods,cuisine_american,meal_drinks,difficulty_5_ingredients_or_less,healthy_low_calorie,difficulty_easy,dietary_gluten_free,dietary_vegetarian,difficulty_under_1_hour,difficulty_under_45_minutes,healthy_high_protein,dietary_kid_friendly,cuisine_fusion,method_steam,cuisine_japanese,dietary_comfort_food,dietary_indulgent_sweets,method_bake,dietary_dairy_free,cooking_style_one_pot_or_pan,cooking_style_pan_fry,dietary_healthy,method_pan_fry,healthy_low_fat,healthy_low_sugar,healthy_low_carb,cooking_style_mashup,meal_snacks,seasonal_winter,cuisine_british,cooking_style_comfort_food,healthy_high_fiber,cuisine_french,meal_desserts,difficulty_under_15_minutes,difficulty_under_30_minutes,dietary_keto,seasonal_summer,cooking_style_no_bake_desserts,dietary_vegan,cuisine_mexican,seasonal_spring,cuisine_italian,meal_lunch,seasonal_fall,cuisine_german,cooking_style_meal_prep,meal_dinner,meal_appetizers,meal_sides,cuisine_african,cuisine_middle_eastern,method_deep_fry,cuisine_latin_american,method_grill,cuisine_dominican,dietary_pescatarian,cuisine_seafood,cuisine_chinese,cuisine_greek,dietary_contains_alcohol,cuisine_indian,cooking_style_steam,cooking_style_stuffed,cuisine_caribbean,cuisine_filipino,cuisine_taiwanese,cuisine_korean,cuisine_jamaican,meal_brunch,cuisine_swedish,cooking_style_deep_fry,cuisine_west_african,cuisine_thai,cuisine_vietnamese,cuisine_peruvian,cuisine_brazilian,cooking_style_grill,cuisine_bbq,cuisine_kenyan,cuisine_haitian,cuisine_persian,cuisine_ethiopian,cuisine_cuban,cuisine_puerto_rican,cuisine_soul_food,cuisine_indigenous,cuisine_laotian,cuisine_hawaiian,method_no_bake_desserts,cuisine_lebanese,cuisine_south_african,cuisine_venezuelan
10,1001,Healthy Blueberry Banana Bread,healthy-blueberry-banana-bread,https://vid.tasty.co/output/9802/mp4_640x640/1473376198,https://img.buzzfeed.com/video-api-prod/assets/e14ac9b8fca447439548a5e89ddc2c92/BFV12519_HealthyBananaBread-ThumbTextless1080.jpg,"1280503,1280501,1247775,1247767,1247788,1247793,1280508,1280507,1280510,1247785,65857,64511,64505,64492,64483,64471,64466,65846",218,2230,92.0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,489,Cheesy Egg Toast Perfect For Breakfast,cheesy-egg-toast-perfect-for-breakfast,https://vid.tasty.co/output/31909/mp4_640x640/1495124904,https://img.buzzfeed.com/video-api-prod/assets/bd2e246b2883465abaad8fb68739f6db/BFV4562_CheesyEggToast-Thumb1080.jpg,"1247775,1280500,64447,64484,64492,64471,64488,64462,64444,64483,65846",133,2621,96.0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3033,3-ingredient Pancakes,3-ingredient-pancakes,https://vid.tasty.co/output/61659/mp4_640x640/1510600164,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/d87481ad207a4e53aba210f30e3df414/BFV32433_3-IngredientBreakfasts-FB1080.jpg,"64469,64463,64470,8091919,8091918,8091916,64467,1247787,64488,64466,64444,65859,64484,64483,1247788,1280510,1280508,64471,64465,65848",533,2947,85.0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1352,Chocolate Strawberry Crepes ,chocolate-strawberry-crepes,https://vid.tasty.co/output/44985/mp4_640x640/1501028201,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/db1cc7f949b64b60a1fd4dd08a678e7b/BFV9642_Crepes_4_Ways-FB1080.jpg,"64469,8091920,8091917,6854262,1247788,1280507,1280508,1280506,1247793,1247787,1247794,1280510,64484,64483,65850,64449,65848",143,2779,96.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1477,Banana Pancakes,banana-pancakes,https://vid.tasty.co/output/19445/mp4_640x640/1482864702,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/451780248edc49eb9fe5640250d0ec7f/pancakes-finalfb.jpg,"64469,64463,64470,8091919,8091916,1280507,1280508,1247788,1247787,1280510,1247785,1280498,64484,64483,65848,65859,65855,64471,64488,64462,64444",773,2694,78.0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2267,Rainbow Crepe Cake,rainbow-crepe-cake,https://vid.tasty.co/output/46981/mp4_640x640/1502402055,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/fb2da9f1eb574cf4bab1261eb741dd7d/final.jpg,"1280511,1247787,1247785,1280507,1280506,1280508,1247768,1247793,1280510,64483,64449,64503,64488,188967,64485,65850,65854,65848",294,1889,87.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1630,Cinnamon Roll French Toast Roll-up,cinnamon-roll-french-toast-roll-up,https://vid.tasty.co/output/24897/mp4_640x640/1487973901,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/dc491a28007b4511b8b352254292f60f/frenchtoastrollups4ways-fb.jpg,"64469,8030032,64484,1247790,1247787,1280510,1247785,1280512,1280508,1280501,1280503,64483,65859,64471,64488,64444,65840",127,1776,94.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2047,On-The-Go Pancake Muffins,on-the-go-fruity-pancakes,https://vid.tasty.co/output/34385/mp4_640x640/1497654103,https://img.buzzfeed.com/video-api-prod/assets/5a1f8c9da3954cb2bdf94f5d3049a2e4/BFV22187_On-The-Go_Fruity_Pancakes_THUMB.jpg,"64469,8091918,8091916,8030032,1247775,1247771,1280506,1280510,1247785,1280508,1280507,65850,65857,64507,64492,64484,64483,65851,64471,64488,64444,65846",248,1700,88.0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1548,Strawberry Banana Smoothie Meal Prep,strawberry-banana-smoothie-meal-prep,https://vid.tasty.co/output/21229/mp4_640x640/1484865382,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/013e3dfd6a1949dc9ddcb2357ade5f97/BFV16378_BreakfastSmoothieMealPrep4Ways_FB1080SQ.jpg,"64470,64484,64488,1280503,1280501,1247785,1280507,1280506,1247796,64444,64487,64483,65853,64466,65843,65838",125,1776,94.0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6097,4-Minute Mug Cinnamon Rolls,4-minute-mug-cinnamon-rolls,https://vid.tasty.co/output/162279/hls24_1583947089.m3u8,https://img.buzzfeed.com/video-api-prod/assets/e1ae0c64d70e42e49d92560bb7d6186e/4min.jpg,"64469,8091748,8091747,8091744,64472,65857,65854,64483,1280507,65850,65845,64471,1280512,1280510,1280506,1280508",539,1597,75.0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
